policy_name,period,rff,picxfe,pitarg,xgap,inflation_gap,lagged_rff,rate_change
pyfrbus_baseline,2040Q1,3.0000797894903,1.98026282937,2.0,0.03096444537982,-0.019737170630000023,3.0000938526302,-1.406313989971153e-05
pyfrbus_baseline,2040Q2,3.0000678331404,1.98026282257,2.0,0.029446053464349992,-0.01973717742999992,3.0000797894903,-1.1956349900366092e-05
pyfrbus_baseline,2040Q3,3.0000576675704,1.9802628161601,2.0,0.02800059407714,-0.019737183839900085,3.0000678331404,-1.016556999999807e-05
pyfrbus_baseline,2040Q4,3.0000635678518,1.9802628116682,2.0,0.03207862844718999,-0.01973718833180005,3.0000576675704,5.900281400350593e-06
pyfrbus_baseline,2041Q1,3.000054032674,1.9802627993607,2.0,0.03530471520976999,-0.019737200639299957,3.0000635678518,-9.535177800223948e-06
pyfrbus_baseline,2041Q2,3.0000459277729,1.9802627888993,2.0,0.03534355678397,-0.019737211100699925,3.000054032674,-8.104901100036699e-06
pyfrbus_baseline,2041Q3,3.0000390386069,1.9802627800071,2.0,0.03327313021235999,-0.019737219992900012,3.0000459277729,-6.889165999890423e-06
pyfrbus_baseline,2041Q4,3.0000331828159,1.9802627724488,2.0,0.030196084136990008,-0.0197372275512,3.0000390386069,-5.85579100009781e-06
pyfrbus_baseline,2042Q1,3.0000282053936,1.9802627660242,2.0,0.02694813780488,-0.01973723397579996,3.0000331828159,-4.977422300100898e-06
pyfrbus_baseline,2042Q2,3.0000239745846,1.9802627605632,2.0,0.02401980484104,-0.019737239436800058,3.0000282053936,-4.230809000027591e-06
pyfrbus_baseline,2042Q3,3.0000203783969,1.9802627559215,2.0,0.02160388422071,-0.01973724407849997,3.0000239745846,-3.596187699628217e-06
pyfrbus_baseline,2042Q4,3.0000173216373,1.980262751976,2.0,0.01969390487182,-0.019737248023999898,3.0000203783969,-3.056759600106318e-06
pyfrbus_baseline,2043Q1,3.0000147233917,1.9802627486222,2.0,0.01818338929851,-0.019737251377800025,3.0000173216373,-2.5982456000051e-06
pyfrbus_baseline,2043Q2,3.0000125148829,1.9802627457716,2.0,0.01694068635363,-0.019737254228400003,3.0000147233917,-2.2085087998391373e-06
