policy_name,training_env,algo,seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate,step
ppo_svar_revealed_direct,svar,ppo,43,0.0,-12928.414161431252,0.0,3.123798334505409,-270.47541947014724,206.10678970105874,0.0,
ppo_svar_revealed_direct,svar,ppo,43,10.0,-11066.344082362632,0.0,3.3037508447887376,-226.75449249189927,175.30225048990283,0.0,
ppo_svar_revealed_direct,svar,ppo,43,20.0,-8320.590775666331,0.0,3.7793260944308713,-278.19322905511,219.89025686487287,0.0,
ppo_svar_revealed_direct,svar,ppo,43,30.0,-4523.922688016462,0.0,5.146878800005652,-389.8175542065417,295.9260670124792,0.0,
ppo_svar_revealed_direct,svar,ppo,43,40.0,-1552.6028971225223,0.0,6.906537337694317,-652.7553124501114,491.4837950100501,0.0,
ppo_svar_revealed_direct,svar,ppo,43,50.0,-950.3858989445911,0.0,7.418211019597948,-749.709720891592,545.5369999486093,0.0,
ppo_svar_revealed_direct,svar,ppo,43,60.0,-824.8994612839773,0.0,7.5906942032743245,-843.9693355508603,610.4800271094094,0.0,
ppo_svar_revealed_direct,svar,ppo,43,70.0,-801.6938782421502,0.0,7.6115308401640505,-810.0454244527118,616.3740906586493,0.0,
ppo_svar_revealed_direct,svar,ppo,43,80.0,-843.2104099149334,0.0,7.619318236829713,-621.0029768340801,467.68043380898166,0.0,
ppo_svar_revealed_direct,svar,ppo,43,90.0,-779.6278342465117,0.0,7.543893151450902,-742.0558847898111,542.3802428023412,0.0,
ppo_svar_revealed_direct,svar,ppo,43,100.0,-753.8658514383683,0.0,7.49157585343346,-729.1140130091965,546.0997540213612,0.0,
ppo_svar_revealed_direct,svar,ppo,43,110.0,-741.1254925574843,0.0,7.619566364213824,-747.3523905324698,566.2392918369471,0.0,
ppo_svar_revealed_direct,svar,ppo,43,120.0,-730.9733063351472,0.0,7.595249411882833,-660.8285812776039,517.170117196376,0.0,
ppo_svar_revealed_direct,svar,ppo,43,130.0,-840.6144166344992,0.0,7.598068518098444,-711.3802437210538,546.0666986806266,0.0,
ppo_svar_revealed_direct,svar,ppo,43,140.0,-672.500117503875,0.0,7.528482921188697,-785.4143100299708,591.8440468294965,0.0,
ppo_svar_revealed_direct,svar,ppo,43,150.0,-804.914978114428,0.0,7.465522874495946,-682.9041774839578,520.9790987648959,0.0,
ppo_svar_revealed_direct,svar,ppo,43,160.0,-699.792805260077,0.0,7.569013726431876,-751.315905901334,584.8121972148535,0.0,
ppo_svar_revealed_direct,svar,ppo,43,170.0,-779.1458412880523,0.0,7.577785308472812,-802.0423012299773,594.4130322149584,0.0,
ppo_svar_revealed_direct,svar,ppo,43,180.0,-853.8175890354164,0.0,7.560631855390966,-804.7736217177578,594.4437793452815,0.0,
ppo_svar_revealed_direct,svar,ppo,43,190.0,-796.4740087374122,0.0,7.568883186206222,-658.1772080110399,481.94553600111306,0.0,
ppo_svar_revealed_direct,svar,ppo,43,200.0,-805.3406549125356,0.0,7.574958717217669,-713.6575519992564,536.210342849033,0.0,
ppo_svar_revealed_direct,svar,ppo,43,210.0,-798.6674422402754,0.0,7.59918639366515,-759.885807018776,573.8899976752202,0.0,
ppo_svar_revealed_direct,svar,ppo,43,219.0,-844.0671524399846,0.0,7.596917001763359,-793.5396184718716,603.7605148674745,0.0,
td3_svar_revealed_direct,svar,td3,43,,,,,-566.0921931366669,437.6526325182355,0.0,2000.0
td3_svar_revealed_direct,svar,td3,43,,,,,-386.1129678013434,261.196779917948,0.0,4000.0
td3_svar_revealed_direct,svar,td3,43,,,,,-411.86506192545113,271.5199843098001,0.0,6000.0
td3_svar_revealed_direct,svar,td3,43,,,,,-394.01108352072913,276.6133373761487,0.0,8000.0
td3_svar_revealed_direct,svar,td3,43,,,,,-379.8410181582258,257.6253329091773,0.0,10000.0
td3_svar_revealed_direct,svar,td3,43,,,,,-480.2123946716041,323.25469104825345,0.0,12000.0
td3_svar_revealed_direct,svar,td3,43,,,,,-502.91246144776136,341.4574124453869,0.0,14000.0
td3_svar_revealed_direct,svar,td3,43,,,,,-458.15824219519607,318.7946586354232,0.0,16000.0
sac_svar_revealed_direct,svar,sac,43,,,,,-685.2996631076396,524.0729347922932,0.0,2000.0
sac_svar_revealed_direct,svar,sac,43,,,,,-415.06047518887954,285.3175666702004,0.0,4000.0
sac_svar_revealed_direct,svar,sac,43,,,,,-457.5719198511978,292.33546573336434,0.0,6000.0
sac_svar_revealed_direct,svar,sac,43,,,,,-534.0022388720467,342.876878798754,0.0,8000.0
sac_svar_revealed_direct,svar,sac,43,,,,,-351.64060121885217,228.31817515794572,0.0,10000.0
sac_svar_revealed_direct,svar,sac,43,,,,,-256.23162016652714,175.80400673233433,0.0,12000.0
sac_svar_revealed_direct,svar,sac,43,,,,,-228.66873360028472,153.33852286694827,0.0,14000.0
sac_svar_revealed_direct,svar,sac,43,,,,,-205.46472259451707,142.15107499158384,0.0,16000.0
